menu_id,image_id,page_number,height,width,,,,,,,,,,,,,,,,,
12486,4000009223,2,3554,1426,,,,,,,,,,,,,,,,,
12486,466960,1,3525,1402,,,,,,,,,,,,,,,,,
12487,4000009228,2,3556,2389,,,,,,,,,,,,,,,,,
12487,466963,1,3585,2367,,,,,,,,,,,,,,,,,
12488,4000009229,2,2965,1992,,,,,,,,,,,,,,,,,
12488,4000009230,3,2956,1996,,,,,,,,,,,,,,,,,
12488,4000009231,4,3383,2027,,,,,,,,,,,,,,,,,
12488,466964,1,3407,2076,,,,,,,,,,,,,,,,,
12489,4000009232,2,2302,1619,,,,,,,,,,,,,,,,,
12489,4000009233,3,2256,1555,,,,,,,,,,,,,,,,,
12489,4000009234,4,1697,2279,,,,,,,,,,,,,,,,,
12489,466965,1,2312,1727,,,,,,,,,,,,,,,,,
12490,4000009240,2,3393,1881,,,,,,,,,,,,,,,,,
12490,466969,1,3419,1882,,,,,,,,,,,,,,,,,
12491,4000009250,2,2712,1856,,,,,,,,,,,,,,,,,
12491,466975,1,2673,1818,,,,,,,,,,,,,,,,,
12492,4000009251,2,2652,1951,,,,,,,,,,,,,,,,,
12492,4000009252,3,2639,1953,,,,,,,,,,,,,,,,,
12492,4000009253,4,2653,1974,,,,,,,,,,,,,,,,,
12492,4000009254,5,2635,1990,,,,,,,,,,,,,,,,,
12492,4000009255,6,2655,1965,,,,,,,,,,,,,,,,,
12492,4000009256,7,2657,1969,,,,,,,,,,,,,,,,,
12492,4000009257,8,2648,1977,,,,,,,,,,,,,,,,,
12492,4000009258,9,2644,2029,,,,,,,,,,,,,,,,,
12492,4000009259,10,2639,2020,,,,,,,,,,,,,,,,,
12492,466976,1,2648,2377,,,,,,,,,,,,,,,,,
12493,4000009260,2,2983,1905,,,,,,,,,,,,,,,,,
12493,466977,1,2994,1921,,,,,,,,,,,,,,,,,
12494,4000009261,2,2700,1722,,,,,,,,,,,,,,,,,
12494,4000009262,3,2668,1717,,,,,,,,,,,,,,,,,
12494,4000009263,4,2703,1718,,,,,,,,,,,,,,,,,
12494,4000009264,5,2691,1740,,,,,,,,,,,,,,,,,
12494,4000009265,6,2665,1766,,,,,,,,,,,,,,,,,
12494,4000009266,7,2667,1740,,,,,,,,,,,,,,,,,
12494,4000009267,8,2724,1855,,,,,,,,,,,,,,,,,
12494,466978,1,2784,1936,,,,,,,,,,,,,,,,,
12495,4000009268,2,2276,1580,,,,,,,,,,,,,,,,,
12495,4000009269,3,2294,1660,,,,,,,,,,,,,,,,,
12495,4000009270,4,2309,1616,,,,,,,,,,,,,,,,,
12495,4000009271,5,2304,1629,,,,,,,,,,,,,,,,,
12495,4000009272,6,2296,1668,,,,,,,,,,,,,,,,,
12495,4000009273,7,2304,1644,,,,,,,,,,,,,,,,,
12495,4000009274,8,2298,1764,,,,,,,,,,,,,,,,,
12495,466979,1,2290,1805,,,,,,,,,,,,,,,,,
12497,4000009286,2,3008,1951,,,,,,,,,,,,,,,,,
12497,466985,1,3000,1938,,,,,,,,,,,,,,,,,
12498,4000009287,2,2910,2090,,,,,,,,,,,,,,,,,
12498,466987,1,2920,2113,,,,,,,,,,,,,,,,,
12499,4000009317,2,3574,2388,,,,,,,,,,,,,,,,,
12499,466993,1,3596,2382,,,,,,,,,,,,,,,,,
12500,4000009319,2,2820,1762,,,,,,,,,,,,,,,,,
12500,466995,1,2805,1747,,,,,,,,,,,,,,,,,
12501,4000009327,2,1792,2738,,,,,,,,,,,,,,,,,
12501,467001,1,2760,1873,,,,,,,,,,,,,,,,,
12502,4000009328,2,1852,2759,,,,,,,,,,,,,,,,,
12502,467002,1,2766,1875,,,,,,,,,,,,,,,,,
12503,459457,2,2216,3273,,,,,,,,,,,,,,,,,
12503,459458,3,2416,3404,,,,,,,,,,,,,,,,,
12503,474306,1,3009,2042,,,,,,,,,,,,,,,,,
12504,4000008153,2,2615,1691,,,,,,,,,,,,,,,,,
12504,475809,1,2622,1740,,,,,,,,,,,,,,,,,
12505,4000008159,2,4848,3133,,,,,,,,,,,,,,,,,
12505,475815,1,4949,3261,,,,,,,,,,,,,,,,,
12506,4000008160,2,5611,3513,,,,,,,,,,,,,,,,,
12506,4000008161,3,5559,3229,,,,,,,,,,,,,,,,,
12506,4000008162,4,5644,3525,,,,,,,,,,,,,,,,,
12506,475816,1,5614,3549,,,,,,,,,,,,,,,,,
12507,4000008163,2,4580,2954,,,,,,,,,,,,,,,,,
12507,475817,1,4617,2990,,,,,,,,,,,,,,,,,
12508,4000008164,2,3133,2001,,,,,,,,,,,,,,,,,
12508,475818,1,3108,2021,,,,,,,,,,,,,,,,,
12509,4000008165,2,3328,2191,,,,,,,,,,,,,,,,,
12509,475829,1,3388,2158,,,,,,,,,,,,,,,,,
12510,4000008166,2,3666,2755,,,,,,,,,,,,,,,,,
12510,475830,1,3661,2758,,,,,,,,,,,,,,,,,
12511,4000008167,2,2643,1776,,,,,,,,,,,,,,,,,
12511,4000008168,3,2596,1763,,,,,,,,,,,,,,,,,
12511,4000008169,4,2644,1801,,,,,,,,,,,,,,,,,
12511,4000008170,5,2644,1809,,,,,,,,,,,,,,,,,
12511,4000008171,6,2665,1796,,,,,,,,,,,,,,,,,
12511,4000008172,7,2605,1814,,,,,,,,,,,,,,,,,
12511,4000008173,8,2607,1812,,,,,,,,,,,,,,,,,
12511,4000008174,9,2601,1809,,,,,,,,,,,,,,,,,
12511,4000008175,10,2614,1775,,,,,,,,,,,,,,,,,
12511,4000008176,11,2640,1785,,,,,,,,,,,,,,,,,
12511,4000008177,12,2639,2150,,,,,,,,,,,,,,,,,
12511,475831,1,2651,1953,,,,,,,,,,,,,,,,,
12515,4000000922,2,2122,1514,,,,,,,,,,,,,,,,,
12515,474376,1,2144,1502,,,,,,,,,,,,,,,,,
12516,4000000055,2,3495,2282,,,,,,,,,,,,,,,,,
12516,4000000056,3,3518,2290,,,,,,,,,,,,,,,,,
12516,4000000057,4,3551,2321,,,,,,,,,,,,,,,,,
12516,476926,1,3531,2306,,,,,,,,,,,,,,,,,
12517,4000002069,2,3302,2174,,,,,,,,,,,,,,,,,
12517,474800,1,3293,2145,,,,,,,,,,,,,,,,,
12518,4000013960,2,4633,2857,,,,,,,,,,,,,,,,,
12518,4000013961,3,4659,2823,,,,,,,,,,,,,,,,,
12518,4000013962,4,4675,2986,,,,,,,,,,,,,,,,,
12518,471634,1,4674,3064,,,,,,,,,,,,,,,,,
12519,4000013970,2,2991,1417,,,,,,,,,,,,,,,,,
12519,4000013971,3,2974,1454,,,,,,,,,,,,,,,,,
12519,4000013972,4,3005,1512,,,,,,,,,,,,,,,,,
12519,471640,1,2995,1514,,,,,,,,,,,,,,,,,
12520,4000013973,2,1494,1585,,,,,,,,,,,,,,,,,
12520,4000013974,3,1452,1727,,,,,,,,,,,,,,,,,
12520,4000013975,4,1478,1594,,,,,,,,,,,,,,,,,
12520,4000013976,5,1461,1710,,,,,,,,,,,,,,,,,
12520,4000013977,6,1465,1584,,,,,,,,,,,,,,,,,
12520,4000013978,7,1456,2118,,,,,,,,,,,,,,,,,
12520,471641,1,1466,2066,,,,,,,,,,,,,,,,,
12522,4000013980,2,1443,1147,,,,,,,,,,,,,,,,,
12522,4000013981,3,1414,1134,,,,,,,,,,,,,,,,,
12522,4000013982,4,1457,1306,,,,,,,,,,,,,,,,,
12522,471643,1,1452,1291,,,,,,,,,,,,,,,,,
12523,4000013983,2,3611,2406,,,,,,,,,,,,,,,,,
12523,4000013984,3,3735,2464,,,,,,,,,,,,,,,,,
12523,4000013985,4,3729,2460,,,,,,,,,,,,,,,,,
12523,4000013986,5,3703,2427,,,,,,,,,,,,,,,,,
12523,4000013987,6,3734,2436,,,,,,,,,,,,,,,,,
12523,4000013988,7,3619,2452,,,,,,,,,,,,,,,,,
12523,4000013989,8,2572,3690,,,,,,,,,,,,,,,,,
12523,471644,1,3703,2593,,,,,,,,,,,,,,,,,
12524,4000013990,2,3016,1565,,,,,,,,,,,,,,,,,
12524,4000013991,3,3034,1538,,,,,,,,,,,,,,,,,
12524,4000013992,4,3035,1655,,,,,,,,,,,,,,,,,
12524,471645,1,3043,1667,,,,,,,,,,,,,,,,,
12525,4000008389,2,2897,1882,,,,,,,,,,,,,,,,,
12525,4000008390,3,2875,1852,,,,,,,,,,,,,,,,,
12525,4000008391,4,2879,1849,,,,,,,,,,,,,,,,,
12525,466403,1,2915,1981,,,,,,,,,,,,,,,,,
12526,4000008395,2,4166,2488,,,,,,,,,,,,,,,,,
12526,466407,1,4155,2404,,,,,,,,,,,,,,,,,
12527,4000008396,2,1839,2743,,,,,,,,,,,,,,,,,
12527,466408,1,2767,1894,,,,,,,,,,,,,,,,,
12528,4000008398,2,1813,2781,,,,,,,,,,,,,,,,,
12528,466410,1,2785,1900,,,,,,,,,,,,,,,,,
12529,4000008400,2,1955,1362,,,,,,,,,,,,,,,,,
12529,4000008401,3,1947,1331,,,,,,,,,,,,,,,,,
12529,4000008402,4,1947,1357,,,,,,,,,,,,,,,,,
12529,466412,1,1955,1349,,,,,,,,,,,,,,,,,
12530,4000008403,2,3344,2196,,,,,,,,,,,,,,,,,
12530,466413,1,3326,2220,,,,,,,,,,,,,,,,,
12531,4000008406,2,3268,2162,,,,,,,,,,,,,,,,,
12531,466418,1,3351,2280,,,,,,,,,,,,,,,,,
12532,4000008407,2,3345,2229,,,,,,,,,,,,,,,,,
12532,466419,1,3388,2229,,,,,,,,,,,,,,,,,
12533,4000008408,2,3299,2132,,,,,,,,,,,,,,,,,
12533,466420,1,3310,2170,,,,,,,,,,,,,,,,,
12534,4000008637,2,3172,2213,,,,,,,,,,,,,,,,,
12534,466586,1,3215,2244,,,,,,,,,,,,,,,,,
12535,4000008638,2,3177,2369,,,,,,,,,,,,,,,,,
12535,466588,1,3150,2372,,,,,,,,,,,,,,,,,
12536,4000008639,2,2515,1815,,,,,,,,,,,,,,,,,
12536,466589,1,2489,1822,,,,,,,,,,,,,,,,,
12537,4000008640,2,1861,2742,,,,,,,,,,,,,,,,,
12537,466590,1,2728,1857,,,,,,,,,,,,,,,,,
12538,4000008904,2,3293,2076,,,,,,,,,,,,,,,,,
12538,466764,1,3321,2112,,,,,,,,,,,,,,,,,
12539,4000008913,2,5088,3559,,,,,,,,,,,,,,,,,
12539,4000008914,3,5070,3553,,,,,,,,,,,,,,,,,
12539,4000008915,4,5119,3650,,,,,,,,,,,,,,,,,
12539,466773,1,5108,3609,,,,,,,,,,,,,,,,,
12544,4000008940,2,2723,1950,,,,,,,,,,,,,,,,,
12544,466778,1,2732,1965,,,,,,,,,,,,,,,,,
12545,4000008941,2,4274,1718,,,,,,,,,,,,,,,,,
12545,4000008942,3,4331,1768,,,,,,,,,,,,,,,,,
12545,4000008943,4,4316,1867,,,,,,,,,,,,,,,,,
12545,466779,1,4330,1855,,,,,,,,,,,,,,,,,
12546,4000014000,2,3095,3094,,,,,,,,,,,,,,,,,
12546,4000014001,3,3117,3073,,,,,,,,,,,,,,,,,
12546,4000014002,4,3095,3103,,,,,,,,,,,,,,,,,
12546,471651,1,3073,3095,,,,,,,,,,,,,,,,,
12549,4000014017,2,2927,2317,,,,,,,,,,,,,,,,,
12549,471656,1,2948,2294,,,,,,,,,,,,,,,,,
12550,4000014018,2,3535,2307,,,,,,,,,,,,,,,,,
12550,471657,1,3528,2332,,,,,,,,,,,,,,,,,
12551,4000014020,2,3426,2304,,,,,,,,,,,,,,,,,
12551,471667,1,3383,2257,,,,,,,,,,,,,,,,,
12552,4000014021,2,2820,1865,,,,,,,,,,,,,,,,,
12552,471668,1,2828,1867,,,,,,,,,,,,,,,,,
12553,4000014022,2,2939,2298,,,,,,,,,,,,,,,,,
12553,471669,1,2930,2308,,,,,,,,,,,,,,,,,
12554,4000010545,2,3078,1938,,,,,,,,,,,,,,,,,
12554,468673,1,3081,1956,,,,,,,,,,,,,,,,,
12555,4000010548,2,2925,1889,,,,,,,,,,,,,,,,,
12555,468676,1,2940,1945,,,,,,,,,,,,,,,,,
12556,4000010555,2,3946,2682,,,,,,,,,,,,,,,,,
12556,4000010556,3,3935,2687,,,,,,,,,,,,,,,,,
12556,4000010557,4,3938,2763,,,,,,,,,,,,,,,,,
12556,468683,1,3950,2798,,,,,,,,,,,,,,,,,
12557,4000010559,2,3035,2024,,,,,,,,,,,,,,,,,
12557,468685,1,3038,2064,,,,,,,,,,,,,,,,,
12558,4000008410,2,3671,2358,,,,,,,,,,,,,,,,,
12558,466422,1,3595,2356,,,,,,,,,,,,,,,,,
12559,4000008411,2,3018,2200,,,,,,,,,,,,,,,,,
12559,4000008412,3,3016,2210,,,,,,,,,,,,,,,,,
12559,4000008413,4,2992,2217,,,,,,,,,,,,,,,,,
12559,4000008414,5,3027,2144,,,,,,,,,,,,,,,,,
12559,4000008415,6,2992,2164,,,,,,,,,,,,,,,,,
12559,4000008416,7,2999,2183,,,,,,,,,,,,,,,,,
12559,4000008417,8,2979,2329,,,,,,,,,,,,,,,,,
12559,466423,1,3058,2353,,,,,,,,,,,,,,,,,
12560,4000008418,2,2888,1774,,,,,,,,,,,,,,,,,
12560,4000008419,3,2943,1825,,,,,,,,,,,,,,,,,
12560,4000008420,4,2929,1905,,,,,,,,,,,,,,,,,
12560,466424,1,2906,1925,,,,,,,,,,,,,,,,,
12561,4000008424,2,2105,1537,,,,,,,,,,,,,,,,,
12561,466433,1,2101,1473,,,,,,,,,,,,,,,,,
12562,4000008429,2,1875,2763,,,,,,,,,,,,,,,,,
12562,466438,1,2803,1979,,,,,,,,,,,,,,,,,
12563,4000009666,2,3542,2183,,,,,,,,,,,,,,,,,
12563,4000009667,3,3501,2173,,,,,,,,,,,,,,,,,
12563,4000009668,4,3509,2292,,,,,,,,,,,,,,,,,
12563,467215,1,3519,2294,,,,,,,,,,,,,,,,,
12564,4000009669,2,3915,2792,,,,,,,,,,,,,,,,,
12564,4000009670,3,3899,2715,,,,,,,,,,,,,,,,,
12564,4000009671,4,3886,2879,,,,,,,,,,,,,,,,,
12564,4000009672,5,2332,1515,,,,,,,,,,,,,,,,,
12564,4000009673,6,2298,1498,,,,,,,,,,,,,,,,,
12564,467216,1,3920,2860,,,,,,,,,,,,,,,,,
12566,4000009678,2,1911,1330,,,,,,,,,,,,,,,,,
12566,467218,1,1934,1300,,,,,,,,,,,,,,,,,
12567,4000009679,2,2644,1474,,,,,,,,,,,,,,,,,
12567,467219,1,2621,1450,,,,,,,,,,,,,,,,,
12568,4000009681,2,3211,2021,,,,,,,,,,,,,,,,,
12568,467221,1,3190,1998,,,,,,,,,,,,,,,,,
12569,4000008650,2,2629,1821,,,,,,,,,,,,,,,,,
12569,466597,1,2600,1811,,,,,,,,,,,,,,,,,
12570,4000008651,2,3125,2385,,,,,,,,,,,,,,,,,
12570,466598,1,3112,2428,,,,,,,,,,,,,,,,,
12571,4000008652,2,2930,4142,,,,,,,,,,,,,,,,,
12571,4000008653,3,2902,1943,,,,,,,,,,,,,,,,,
12571,466599,1,2927,2151,,,,,,,,,,,,,,,,,
12572,4000008655,2,2883,2025,,,,,,,,,,,,,,,,,
12572,466601,1,2864,2418,,,,,,,,,,,,,,,,,
12573,4000008656,2,2143,1687,,,,,,,,,,,,,,,,,
12573,4000008657,3,2197,1694,,,,,,,,,,,,,,,,,
12573,4000008658,4,2132,1762,,,,,,,,,,,,,,,,,
12573,466603,1,2149,1775,,,,,,,,,,,,,,,,,
12574,4000008660,2,3512,2334,,,,,,,,,,,,,,,,,
12574,466614,1,3508,2317,,,,,,,,,,,,,,,,,
12575,4000008944,2,4592,2990,,,,,,,,,,,,,,,,,
12575,466780,1,4592,2978,,,,,,,,,,,,,,,,,
12576,4000008945,2,2905,1855,,,,,,,,,,,,,,,,,
12576,466781,1,2901,1846,,,,,,,,,,,,,,,,,
12577,4000008947,2,2910,2116,,,,,,,,,,,,,,,,,
12577,466783,1,2884,2083,,,,,,,,,,,,,,,,,
12578,4000008948,2,3299,2087,,,,,,,,,,,,,,,,,
12578,466784,1,3291,2088,,,,,,,,,,,,,,,,,
12579,4000008949,2,3582,2376,,,,,,,,,,,,,,,,,
12579,466785,1,3590,2369,,,,,,,,,,,,,,,,,
12580,1603595,1,7230,5428,,,,,,,,,,,,,,,,,
12580,1603596,2,5428,7230,,,,,,,,,,,,,,,,,
12580,1603597,3,7230,5428,,,,,,,,,,,,,,,,,
12580,1603598,4,7230,5428,,,,,,,,,,,,,,,,,
12581,1603591,1,7230,5428,,,,,,,,,,,,,,,,,
12581,1603592,2,7230,5428,,,,,,,,,,,,,,,,,
12581,1603593,3,7230,5428,,,,,,,,,,,,,,,,,
12581,1603594,4,7230,5428,,,,,,,,,,,,,,,,,
12582,4000001128,2,,,,,,,,,,,,,,,,,,,
12582,474450,1,,,,,,,,,,,,,,,,,,,
12583,4000009170,2,3074,2046,,,,,,,,,,,,,,,,,
12583,466928,1,3049,2004,,,,,,,,,,,,,,,,,
12584,4000009171,2,3690,2888,,,,,,,,,,,,,,,,,
12584,466930,1,3679,2866,,,,,,,,,,,,,,,,,
12585,4000009172,2,3413,2307,,,,,,,,,,,,,,,,,
12585,466931,1,3411,2291,,,,,,,,,,,,,,,,,
12586,4000009173,2,3352,2312,,,,,,,,,,,,,,,,,
12586,466932,1,3365,2305,,,,,,,,,,,,,,,,,
12587,4000009174,2,3090,2102,,,,,,,,,,,,,,,,,
12587,4000009175,3,3070,2114,,,,,,,,,,,,,,,,,
12587,4000009176,4,3091,2230,,,,,,,,,,,,,,,,,
12587,466933,1,3091,2213,,,,,,,,,,,,,,,,,
12588,4000009178,2,2950,1921,,,,,,,,,,,,,,,,,
12588,466935,1,2957,1929,,,,,,,,,,,,,,,,,
12589,4000009180,2,3593,2468,,,,,,,,,,,,,,,,,
12589,466939,1,3575,2485,,,,,,,,,,,,,,,,,
12590,4000009181,2,3434,2305,,,,,,,,,,,,,,,,,
12590,466940,1,3427,2282,,,,,,,,,,,,,,,,,
12591,4000009182,2,3431,2314,,,,,,,,,,,,,,,,,
12591,466941,1,3454,2305,,,,,,,,,,,,,,,,,
12592,4000009183,2,3076,2111,,,,,,,,,,,,,,,,,
12592,4000009184,3,3054,2108,,,,,,,,,,,,,,,,,
12592,4000009185,4,3060,2225,,,,,,,,,,,,,,,,,
12592,466942,1,3081,2220,,,,,,,,,,,,,,,,,
12593,4000009187,2,2306,1808,,,,,,,,,,,,,,,,,
12593,466944,1,2293,1807,,,,,,,,,,,,,,,,,
12595,4000009199,2,3909,2481,,,,,,,,,,,,,,,,,
12595,466946,1,3929,2494,,,,,,,,,,,,,,,,,
12596,4000009200,2,3821,2397,,,,,,,,,,,,,,,,,
12596,4000009201,3,3813,2385,,,,,,,,,,,,,,,,,
12596,4000009202,4,3813,2521,,,,,,,,,,,,,,,,,
12596,466947,1,3835,2520,,,,,,,,,,,,,,,,,
12597,4000009203,2,3500,2299,,,,,,,,,,,,,,,,,
12597,466948,1,3525,2303,,,,,,,,,,,,,,,,,
12598,4000009203,2,3500,2299,,,,,,,,,,,,,,,,,
12598,466948,1,3525,2303,,,,,,,,,,,,,,,,,
12599,4000009205,2,3515,2195,,,,,,,,,,,,,,,,,
12599,4000009206,3,3511,2190,,,,,,,,,,,,,,,,,
12599,4000009207,4,3505,2311,,,,,,,,,,,,,,,,,
12599,466950,1,3523,2319,,,,,,,,,,,,,,,,,
12600,4000009208,2,2970,1965,,,,,,,,,,,,,,,,,
12600,466951,1,2961,1930,,,,,,,,,,,,,,,,,
12601,4000009209,2,2985,1966,,,,,,,,,,,,,,,,,
12601,466952,1,2977,1952,,,,,,,,,,,,,,,,,
12602,4000009210,2,2628,1807,,,,,,,,,,,,,,,,,
12602,466953,1,2620,1807,,,,,,,,,,,,,,,,,
12603,4000009211,2,3928,2480,,,,,,,,,,,,,,,,,
12603,466954,1,3920,2497,,,,,,,,,,,,,,,,,
12604,4000009212,2,2663,1750,,,,,,,,,,,,,,,,,
12604,4000009213,3,2693,1870,,,,,,,,,,,,,,,,,
12604,4000009214,4,2669,1852,,,,,,,,,,,,,,,,,
12604,4000009215,5,2643,1797,,,,,,,,,,,,,,,,,
12604,4000009216,6,2660,2188,,,,,,,,,,,,,,,,,
12604,466955,1,2672,1950,,,,,,,,,,,,,,,,,
12605,4000009218,2,2949,1971,,,,,,,,,,,,,,,,,
12605,466957,1,2949,1972,,,,,,,,,,,,,,,,,
12606,4000009223,2,3554,1426,,,,,,,,,,,,,,,,,
12606,466960,1,3525,1402,,,,,,,,,,,,,,,,,
12607,4000009228,2,3556,2389,,,,,,,,,,,,,,,,,
12607,466963,1,3585,2367,,,,,,,,,,,,,,,,,
12609,4000009232,2,2302,1619,,,,,,,,,,,,,,,,,
12609,4000009233,3,2256,1555,,,,,,,,,,,,,,,,,
12609,4000009234,4,1697,2279,,,,,,,,,,,,,,,,,
12609,466965,1,2312,1727,,,,,,,,,,,,,,,,,
12610,4000009240,2,3393,1881,,,,,,,,,,,,,,,,,
12610,466969,1,3419,1882,,,,,,,,,,,,,,,,,
12611,4000009250,2,2712,1856,,,,,,,,,,,,,,,,,
12611,466975,1,2673,1818,,,,,,,,,,,,,,,,,
12613,4000009260,2,2983,1905,,,,,,,,,,,,,,,,,
12613,466977,1,2994,1921,,,,,,,,,,,,,,,,,
12614,4000009261,2,2700,1722,,,,,,,,,,,,,,,,,
12614,4000009262,3,2668,1717,,,,,,,,,,,,,,,,,
12614,4000009263,4,2703,1718,,,,,,,,,,,,,,,,,
12614,4000009264,5,2691,1740,,,,,,,,,,,,,,,,,
12614,4000009265,6,2665,1766,,,,,,,,,,,,,,,,,
12614,4000009266,7,2667,1740,,,,,,,,,,,,,,,,,
12614,4000009267,8,2724,1855,,,,,,,,,,,,,,,,,
12614,466978,1,2784,1936,,,,,,,,,,,,,,,,,
12616,4000009275,2,2281,1527,,,,,,,,,,,,,,,,,
12616,4000009276,3,2312,1575,,,,,,,,,,,,,,,,,
12616,4000009277,4,2574,1934,,,,,,,,,,,,,,,,,
12616,466980,1,2579,1928,,,,,,,,,,,,,,,,,
12617,4000009286,2,3008,1951,,,,,,,,,,,,,,,,,
12617,466985,1,3000,1938,,,,,,,,,,,,,,,,,
12618,4000009287,2,2910,2090,,,,,,,,,,,,,,,,,
12618,466987,1,2920,2113,,,,,,,,,,,,,,,,,
12619,4000009317,2,3574,2388,,,,,,,,,,,,,,,,,
12619,466993,1,3596,2382,,,,,,,,,,,,,,,,,
12620,4000009319,2,2820,1762,,,,,,,,,,,,,,,,,
12620,466995,1,2805,1747,,,,,,,,,,,,,,,,,
12621,4000009327,2,1792,2738,,,,,,,,,,,,,,,,,
12621,467001,1,2760,1873,,,,,,,,,,,,,,,,,
