menu_id,image_id,page_number,height,width,,,,,,,,,,,,,,,,,
12460,1603595,1,7230,5428,,,,,,,,,,,,,,,,,
12460,1603596,2,5428,7230,,,,,,,,,,,,,,,,,
12460,1603597,3,7230,5428,,,,,,,,,,,,,,,,,
12460,1603598,4,7230,5428,,,,,,,,,,,,,,,,,
12461,1603591,1,7230,5428,,,,,,,,,,,,,,,,,
12461,1603592,2,7230,5428,,,,,,,,,,,,,,,,,
12461,1603593,3,7230,5428,,,,,,,,,,,,,,,,,
12461,1603594,4,7230,5428,,,,,,,,,,,,,,,,,
12462,4000001128,2,,,,,,,,,,,,,,,,,,,
12462,474450,1,,,,,,,,,,,,,,,,,,,
12463,4000009170,2,3074,2046,,,,,,,,,,,,,,,,,
12463,466928,1,3049,2004,,,,,,,,,,,,,,,,,#N/A
12464,4000009171,2,3690,2888,,,,,,,,,,,,,,,,,
12464,466930,1,3679,2866,,,,,,,,,,,,,,,,,
12465,4000009172,2,3413,2307,,,,,,,,,,,,,,,,,
12465,466931,1,3411,2291,,,,,,,,,,,,,,,,,
12466,4000009173,2,3352,2312,,,,,,,,,,,,,,,,,
12466,466932,1,3365,2305,,,,,,,,,,,,,,,,,
12467,4000009174,2,3090,2102,,,,,,,,,,,,,,,,,
12467,4000009175,3,3070,2114,,,,,,,,,,,,,,,,,
12467,4000009176,4,3091,2230,,,,,,,,,,,,,,,,,
12467,466933,1,3091,2213,,,,,,,,,,,,,,,,,
12468,4000009178,2,2950,1921,,,,,,,,,,,,,,,,,
12468,466935,1,2957,1929,,,,,,,,,,,,,,,,,
12469,4000009180,2,3593,2468,,,,,,,,,,,,,,,,,
12469,466939,1,3575,2485,,,,,,,,,,,,,,,,,
12470,4000009181,2,3434,2305,,,,,,,,,,,,,,,,,
12470,466940,1,3427,2282,,,,,,,,,,,,,,,,,
12471,4000009182,2,3431,2314,,,,,,,,,,,,,,,,,
12471,466941,1,3454,2305,,,,,,,,,,,,,,,,,
12472,4000009183,2,3076,2111,,,,,,,,,,,,,,,,,
12472,4000009184,3,3054,2108,,,,,,,,,,,,,,,,,
12472,4000009185,4,3060,2225,,,,,,,,,,,,,,,,,
12472,466942,1,3081,2220,,,,,,,,,,,,,,,,,
12473,4000009187,2,2306,1808,,,,,,,,,,,,,,,,,
12473,466944,1,2293,1807,,,,,,,,,,,,,,,,,
12474,4000009188,2,2840,2008,,,,,,,,,,,,,,,,,
12474,4000009189,3,2843,2054,,,,,,,,,,,,,,,,,
12474,4000009190,4,2920,2064,,,,,,,,,,,,,,,,,
12474,4000009191,5,2852,2112,,,,,,,,,,,,,,,,,
12474,4000009192,6,2874,2059,,,,,,,,,,,,,,,,,
12474,4000009193,7,2870,2081,,,,,,,,,,,,,,,,,
12474,4000009194,8,2869,2113,,,,,,,,,,,,,,,,,
12474,4000009195,9,2867,2076,,,,,,,,,,,,,,,,,
12474,4000009196,10,2896,2091,,,,,,,,,,,,,,,,,
12474,4000009197,11,2868,2044,,,,,,,,,,,,,,,,,
12474,4000009198,12,2895,2688,,,,,,,,,,,,,,,,,
12474,466945,1,2880,2407,,,,,,,,,,,,,,,,,
12475,4000009199,2,3909,2481,,,,,,,,,,,,,,,,,
12475,466946,1,3929,2494,,,,,,,,,,,,,,,,,
12476,4000009200,2,3821,2397,,,,,,,,,,,,,,,,,
12476,4000009201,3,3813,2385,,,,,,,,,,,,,,,,,
12476,4000009202,4,3813,2521,,,,,,,,,,,,,,,,,
12476,466947,1,3835,2520,,,,,,,,,,,,,,,,,
12477,4000009203,2,3500,2299,,,,,,,,,,,,,,,,,
12477,466948,1,3525,2303,,,,,,,,,,,,,,,,,
12478,4000009203,2,3500,2299,,,,,,,,,,,,,,,,,
12478,466948,1,3525,2303,,,,,,,,,,,,,,,,,
12479,4000009205,2,3515,2195,,,,,,,,,,,,,,,,,
12479,4000009206,3,3511,2190,,,,,,,,,,,,,,,,,
12479,4000009207,4,3505,2311,,,,,,,,,,,,,,,,,
12479,466950,1,3523,2319,,,,,,,,,,,,,,,,,
12480,4000009208,2,2970,1965,,,,,,,,,,,,,,,,,
12480,466951,1,2961,1930,,,,,,,,,,,,,,,,,
12481,4000009209,2,2985,1966,,,,,,,,,,,,,,,,,
12481,466952,1,2977,1952,,,,,,,,,,,,,,,,,
12482,4000009210,2,2628,1807,,,,,,,,,,,,,,,,,
12482,466953,1,2620,1807,,,,,,,,,,,,,,,,,
12483,4000009211,2,3928,2480,,,,,,,,,,,,,,,,,
12483,466954,1,3920,2497,,,,,,,,,,,,,,,,,
12484,4000009212,2,2663,1750,,,,,,,,,,,,,,,,,
12484,4000009213,3,2693,1870,,,,,,,,,,,,,,,,,
12484,4000009214,4,2669,1852,,,,,,,,,,,,,,,,,
12484,4000009215,5,2643,1797,,,,,,,,,,,,,,,,,
12484,4000009216,6,2660,2188,,,,,,,,,,,,,,,,,
12484,466955,1,2672,1950,,,,,,,,,,,,,,,,,
12485,4000009218,2,2949,1971,,,,,,,,,,,,,,,,,
12485,466957,1,2949,1972,,,,,,,,,,,,,,,,,
