filename,restaurant_title,geography_city,state,year,menuType,rest,tags
1687358.jpg,Horn & Hardart Company Dining Rooms Menu,,n%2Fa,1914,0,,
1687499.jpg,Greenhut's Lunch Room Menu,,n%2Fa,1914,0,,
1939253.jpg,Delmonico's Menu,,n%2Fa,1914,0,delmonicos,
3883741.jpg,The Musicians Club of San Francisco Dinner at Martinelli's,San%20Francisco%2C%20CA,California,1897,2,,
3883757.jpg,Hotel Del Monte Dinner Menu,,n%2Fa,1880,0,,
3884361.jpg,Harvard Club of San Francisco Dinner at Palace Hotel,San%20Francisco%2C%20CA,California,1880,2,,
3884423.jpg,"ANNIVERSARY dinner at National Parlor No. 118, Fairmont Hotel",San%20Francisco%2C%20CA,California,1910,2,,
3884427.jpg,Wester Retail Lumbermen's Association Dinner at San Francisco Commerical Club,San%20Francisco%2C%20CA,California,1915,2,,
3884440.jpg,National Event Lunch Menu at San Francisco Commercial Club,San%20Francisco%2C%20CA,California,1915,2,,
3884444.jpg,Complimentary Testimonial Dinner at The San Francisco Commercial Club,San%20Francisco%2C%20CA,California,1915,2,,
3884465.jpg,COMPLIMENTARY/TESTIMONIAL Dinner at Tait's 'Pavo Real',,n%2Fa,1921,2,,
3884472.jpg,The Citizens of San Francisco Dinner at Palace Hotel,San%20Francisco%2C%20CA,California,1917,2,,
3886428.jpg,Breakfast Menu aboard U.S.M.S. St. Louis by American Line,,n%2Fa,1910,1,,
3886429.jpg,Dinner Menu aboard U.S.M.S. St. Louis,,n%2Fa,1910,1,,
3886430.jpg,American Line Luncheon Menu,,n%2Fa,1910,1,,
3886438.jpg,Dinner at Royal Hotel,BURMA,n%2Fa,1910,0,,
3886482.jpg,"Second Annual Dinner at Council Club, American Banking Association",Los%20Angeles%2C%20CA,California,1910,2,,
3886706.jpg,LUNCH menu aboard BARBAROSSA,Bremen,n%2Fa,1910,1,,
3886707.jpg,Dinner aboard S S Vaderland,Antwerpen%2C%20Belgium,n%2Fa,1910,1,,
3886708.jpg,Dinner Menu on S.S. Vaderland by Red Star Line Antwerpen,Antwerpen%2C%20Belgium,n%2Fa,1910,1,,
3886719.jpg,Dinner Menu on board the Kronprinzessin Cecilie,Norddeutscher%20Lloyd%20Bremen,n%2Fa,1910,1,,
3886720.jpg,Supper Menu on board the Kronprinzessin Cecilie,Bremen%2C%20Germany,n%2Fa,1910,1,,
3886722.jpg,DINNER MENU ON BOARD THE SS VADERLAND,,n%2Fa,1910,1,,
3886723.jpg,Breakfast Menu on the SS Vaderland,,n%2Fa,1910,1,,
3886728.jpg,Boston Paper Trade Association Dinner at Algonquin Club,New%20York%2C%20NY,New%20York,1910,2,,
3886729.jpg,USMS Philadelphia Luncheon,Philadelphia%2C%20PA,Pennsylvania,1910,1,,
3886730.jpg,Complimentary Dinner on Board,Philadelphia%2C%20PA,Pennsylvania,1910,1,,
3886731.jpg,Complimentary Testimonial Dinner Menu,Philadelphia%2C%20PA,Pennsylvania,1910,2,,
3886750.jpg,Breakfast Menu on Board,,n%2Fa,1910,1,,
3886752.jpg,Daily Dinner Menu on Board,Philadelphia%2C%20PA,Pennsylvania,1910,1,,
3886753.jpg,USMS Philadelphia Luncheon Menu,Philadelphia%2C%20PA,Pennsylvania,1910,1,,
3886755.jpg,LUNCHEON MENU ON BOARD SS VADERLAND,,n%2Fa,1910,1,,
3886759.jpg,Dinner Menu on S.S. Vaderland,,n%2Fa,1910,1,,
3886760.jpg,SUPPER MENU ON BOARD THE SS VADERLAND,,n%2Fa,1910,1,,
3886764.jpg,Supper Menu aboard George Washington,Bremen%2C%20Germany,n%2Fa,1910,1,,
3886765.jpg,Breakfast Menu Aboard George Washington,Bremen,n%2Fa,1910,1,,
3886766.jpg,Dinner aboard George Washington,Bremen,n%2Fa,1910,1,,
3886770.jpg,Turkish Ambassador Dinner Menu,Berlin%2C%20GERMANY,n%2Fa,1910,0,,
3886772.jpg,U.S.M.S. Philadelphia Breakfast,Philadelphia%2C%20PA,Pennsylvania,1910,1,,
3886783.jpg,Regular Breakfast Menu aboard Prinz Friedrich Wilhelm,Bremen,n%2Fa,1910,1,,
